zip,ct20_id,median_price,median_flip_horizon,perc_investor,r_mhi,o_mhi,lat.x,pop_asian,pop_american_indian,pop_black,pop_white,pop_65o,pop_18_64,pop_u18,male,female,pop,num_sales_transactions,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_small_investor,sum_non_investor,median_intersf,mortgage.x
02024,25025050570,748167,2224,0.420629644927592,21494,175954,496,804,2,346,2198,343,3369,329,1990,2051,4041,539,15,13,18,32,461,1086,265583
02026,25025130101,465000,2258,0.449090909090909,110890,126889,440,580,1,206,4540,1209,3816,1023,2784,3264,6048,825,16,12,16,40,741,1464,362400
02028,25025050200,460000,2015,0.385714285714286,53875,143219,3168,174,15,121,1467,369,3708,1120,2634,2563,5197,455,19,19,26,40,351,1739,351000
02108,25025169252,1167750,2343,0.419186604304869,65689,139966,574,266,3,138,1658,388,2036,347,1387,1384,2771,542,12,11,19,32,469,1377,215733
02109,25025047057,794889,2234,0.442848464036799,70711,152825,131,241,1,51,1859,371,1837,170,1180,1198,2377,544,7,8,19,30,481,1098,301079
02110,25025049462,895150,2152,0.448120218048819,93156,172735,165,341,3,129,1717,357,1946,165,1204,1264,2468,468,6,7,15,26,414,1160,325594
02111,25025081819,1016500,1921,0.38754703510365,33096,146354,439,1055,3,440,1688,569,2773,420,1809,1953,3762,464,11,9,15,25,404,1152,120917
02112,25025010702,1202300,2131,0.438709677419355,122163,197321,157,154,4,52,1856,460,1706,162,1095,1233,2328,775,16,25,10,44,680,1145,0
02113,25025030300,673700,2198,0.443206097360905,105719,113826,137,127,2,49,2121,307,2089,134,1192,1338,2530,359,3,5,13,20,318,958,278745
02114,25025026674,770591,2234,0.44711299103532,122278,141134,164,246,2,80,1892,328,1978,187,1187,1306,2493,419,4,7,12,23,373,950,259879
02115,25025073852,731832,2239,0.4037595576522,58269,97046,358,594,3,259,1963,363,2758,215,1558,1777,3336,382,13,12,14,21,322,1068,259265
02118,25025068365,788675,2148,0.424520153955078,44231,127638,533,476,4,520,1393,363,2370,378,1509,1602,3111,370,7,8,12,17,325,1265,357813
02119,25025085631,535958,2039,0.356351226603925,36580,81864,936,377,8,1169,850,452,2522,666,1708,1932,3640,250,20,11,16,15,188,1952,340380
02120,25025079901,667950,2316,0.380949971273631,38959,61091,965,728,7,844,1287,440,3045,547,1898,2134,4032,217,12,8,12,14,171,1607,415315
02121,25025089167,377037,1758,0.330239554969082,36479,90559,1202,202,12,1887,450,525,2604,1034,1899,2264,4162,279,32,15,18,18,195,2698,284946
