"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"1",25025030301,2110,885000,2194.5,0.428445229681979,157976,119276,52,140,0,4,1154,500,758,127,668,717,1385,566,8,9,30,34,485,1174,120937.5
"3",25025030301,2109,885000,2194.5,0.428445229681979,157976,119276,52,140,0,4,1154,500,758,127,668,717,1385,566,8,9,30,34,485,1174,120937.5
"472",25025030301,2210,885000,2194.5,0.428445229681979,157976,119276,52,140,0,4,1154,500,758,127,668,717,1385,566,8,9,30,34,485,1174,120937.5
"1254",25025070302,2116,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"1321",25025070302,2215,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"1675",25025070302,2118,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"1821",25025070302,2109,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"2112",25025070302,2115,1256250,2432,0.464664310954064,0,250001,105,426,0,55,1426,594,1317,179,1045,1045,2090,566,3,4,14,19,526,1290,309000
"2723",25025110401,2131,389250,2009,0.427083333333333,67713,125234,1144,125,3,902,1282,485,2462,678,1709,1916,3625,384,13,11,10,22,328,1466,299962.5
"3674",25025000804,2134,459950,2574,0.369444444444444,90551,109178,818,824,5,217,1661,277,3021,515,2047,1766,3813,360,24,16,33,21,266,1198,226600
"3777",25025000804,2135,459950,2574,0.369444444444444,90551,109178,818,824,5,217,1661,277,3021,515,2047,1766,3813,360,24,16,33,21,266,1198,226600
"4609",25025101101,2126,369000,1934,0.386255924170616,54677,81481,752,28,7,2436,108,464,2209,849,1579,1943,3522,211,16,13,8,11,163,2820,324000
